DESTINATION,IATA_CODE,AIRLINE,AIRCRAFT,DATETIME,DEPART_TIME,DEPART_DATETIME,DELAY_MINUTES,WEATHER,TEMP,DEST_CODE,AIRLINE_CODE,AIRCRAFT_CODE
Palma de Mallorca,PMI,easyJet,A319,2025-04-28 09:55:00,10:18,2025-04-28 10:18:00,23,2,11.9,125,98,2
Las Vegas,LAS,Edelweiss Air,A343,2025-04-28 09:55:00,10:29,2025-04-28 10:29:00,34,2,11.9,89,34,7
Chicago,ORD,United Airlines,B763,2025-04-28 09:50:00,10:10,2025-04-28 10:10:00,20,2,11.9,41,94,16
Lisbon,LIS,Swiss,A20N,2025-04-28 09:50:00,10:16,2025-04-28 10:16:00,26,2,11.9,90,88,0
Miami,MIA,Swiss,A333,2025-04-28 09:50:00,10:09,2025-04-28 10:09:00,19,2,11.9,107,88,6
Mumbai,BOM,Swiss,A333,2025-04-28 09:45:00,09:55,2025-04-28 09:55:00,10,2,11.9,110,88,6
Antalya,AYT,SunExpress,B738,2025-04-28 09:40:00,10:01,2025-04-28 10:01:00,21,2,11.9,6,87,14
Doha,DOH,Qatar Airways,A359,2025-04-28 09:40:00,09:48,2025-04-28 09:48:00,8,2,11.9,50,77,8
Malaga,AGP,Swiss,A320,2025-04-28 09:40:00,10:03,2025-04-28 10:03:00,23,2,11.9,98,88,3
Manchester,MAN,easyJet,A20N,2025-04-28 09:35:00,09:52,2025-04-28 09:52:00,17,2,11.9,101,98,0
Stuttgart,STR,Swiss,BCS3,2025-04-28 09:35:00,09:44,2025-04-28 09:44:00,9,2,11.9,158,88,24
Paris,LBG,GlobeAir,C510,2025-04-28 09:30:00,09:38,2025-04-28 09:38:00,8,2,11.9,126,55,29
Munich,MUC,Helvetic Airways,E190,2025-04-28 09:30:00,09:50,2025-04-28 09:50:00,20,2,11.9,111,57,41
Barcelona,BCN,Vueling,A321,2025-04-28 09:35:00,09:41,2025-04-28 09:41:00,6,2,11.9,13,96,4
Frankfurt,FRA,Air Dolomiti,E190,2025-04-28 09:30:00,09:35,2025-04-28 09:35:00,5,2,11.9,61,8,41
Graz,GRZ,Swiss,BCS3,2025-04-28 09:00:00,09:10,2025-04-28 09:10:00,10,2,11.9,68,88,24
Belgrade,BEG,AirSERBIA,A319,2025-04-28 09:30:00,09:34,2025-04-28 09:34:00,4,2,11.9,16,13,2
Brussels,BRU,Air Baltic,BCS3,2025-04-28 09:00:00,09:09,2025-04-28 09:09:00,9,2,11.9,32,5,24
